Time Stamp,District,Area,Status
1444777501,3,Area04_011,Done
1444777501,3,Area04_012,Done
1444777501,3,Area04_013,Done
1444777501,3,Area04_014,Done
1444777501,3,Area04_015,Done
1444777501,3,Area04_016,Done
1444777501,3,Area04_017,Done
1444777501,3,Area04_018,Done
1444777501,3,Area04_019,Done
1444777501,5,Area06_001,Done
1444777501,5,Area06_002,Done
1444777501,5,Area06_003,Done
1444777501,5,Area06_004,Done
1444777501,5,Area06_005,Done
1444777501,5,Area06_006,Done
1444777501,5,Area06_007,Done
1444777501,5,Area06_008,Done
1444777501,5,Area06_009,Done
1444777501,5,Area06_010,Done
1444777501,5,Area06_011,Done
1444777501,5,Area06_012,Done
1444777501,5,Area06_013,Done
1444777501,5,Area06_014,Done
1444777501,5,Area06_015,Done
1444777501,5,Area06_016,Done
1444777501,5,Area06_017,Done
1444777501,5,Area06_018,Done
1444777501,5,Area06_019,Done
1444777501,5,Area06_020,Done
1444777501,5,Area06_021,Done
1444777501,5,Area06_022,Done
1444777501,5,Area06_023,Done
1444777501,5,Area06_024,Done
1444777501,5,Area06_025,Done
1444777501,5,Area06_026,Done
1444777501,5,Area06_027,Done
1444777501,5,Area06_028,Done
1444777501,5,Area06_029,Done
1444777501,7,Area08_001,Done
1444777501,7,Area08_002,Done
1444777501,7,Area08_003,Done
1444777501,7,Area08_004,Done
1444777501,7,Area08_005,Done
1444777501,7,Area08_006,Done
1444777501,7,Area08_007,Done
1444777501,7,Area08_008,Done
1444777501,7,Area08_009,Done
1444777501,7,Area08_010,Done
1444777501,7,Area08_011,Done
1444777501,7,Area08_012,Done
1444777501,7,Area08_013,Done
1444777501,7,Area08_014,Done
1444777501,7,Area08_015,Done
1444777501,7,Area08_016,Done
1444777501,7,Area08_017,Done
1444777501,7,Area08_018,Done
1444777501,7,Area08_019,Done
1444777501,7,Area08_020,Done
1444777501,7,Area08_021,Done
1444777501,7,Area08_022,Done
1444777501,7,Area08_099,Done
1444820701,9,Area10_001,Done
1444820701,9,Area10_002,Done
1444820701,9,Area10_003,Current
1444820701,9,Area10_004,Done
1444820701,9,Area10_005,Current
1444820701,9,Area10_006,Current
1444820701,9,Area10_007,Current
1444820701,9,Area10_008,Current
1444820701,9,Area10_009,Current
1444820701,9,Area10_010,Done
1444820701,9,Area10_011,Done
1444820701,9,Area10_012,Current
1444820701,9,Area10_013,Done
1444820701,9,Area10_014,Done
1444820701,9,Area10_015,Done
1444820701,9,Area10_016,Current
1444820701,9,Area10_017,Current
1444820701,9,Area10_018,Done
1444820701,9,Area10_019,Current
1444820701,9,Area10_020,Current
1444820701,9,Area10_021,Current
1444820701,9,Area10_022,Current
1444820701,9,Area10_023,Current
1444820701,1,Area02_001,Done
1444820701,1,Area02_002,Done
1444820701,1,Area02_003,Done
1444820701,1,Area02_004,Done
1444820701,1,Area02_005,Done
1444820701,1,Area02_006,Done
1444820701,1,Area02_007,Done
1444820701,1,Area02_008,Done
1444820701,1,Area02_009,Done
1444820701,1,Area02_010,Done
1444820701,1,Area02_011,Done
1444820701,1,Area02_012,Done
1444820701,1,Area02_013,Done
1444820701,1,Area02_014,Done
1444820701,1,Area02_015,Done
1444820701,1,Area02_016,Done
1444820701,1,Area02_017,Done
1444820701,1,Area02_018,Done
1444820701,1,Area02_019,Done
1444820701,1,Area02_020,Done
1444820701,1,Area02_021,Done
1444820701,1,Area02_022,Done
1444820701,1,Area02_023,Done
1444820701,1,Area02_024,Done
1444820701,1,Area02_025,Done
1444820701,1,Area02_026,Done
1444820701,3,Area04_001,Done
1444820701,3,Area04_002,Done
1444820701,3,Area04_003,Done
1444820701,3,Area04_004,Done
1444820701,3,Area04_005,Done
1444820701,3,Area04_006,Done
1444820701,3,Area04_007,Done
1444820701,3,Area04_008,Done
1444820701,3,Area04_009,Done
1444820701,3,Area04_010,Done
1444820701,3,Area04_011,Done
1444820701,3,Area04_012,Done
1444820701,3,Area04_013,Done
1444820701,3,Area04_014,Done
1444820701,3,Area04_015,Done
1444820701,3,Area04_016,Done
1444820701,3,Area04_017,Done
1444820701,3,Area04_018,Done
1444820701,3,Area04_019,Done
1444820701,5,Area06_001,Done
1444820701,5,Area06_002,Done
1444820701,5,Area06_003,Done
1444820701,5,Area06_004,Done
1444820701,5,Area06_005,Done
1444820701,5,Area06_006,Done
1444820701,5,Area06_007,Done
1444820701,5,Area06_008,Done
1444820701,5,Area06_009,Done
1444820701,5,Area06_010,Done
1444820701,5,Area06_011,Done
1444820701,5,Area06_012,Done
1444820701,5,Area06_013,Done
1444820701,5,Area06_014,Done
1444820701,5,Area06_015,Done
1444820701,5,Area06_016,Done
1444820701,5,Area06_017,Done
1444820701,5,Area06_018,Done
1444820701,5,Area06_019,Done
1444820701,5,Area06_020,Done
1444820701,5,Area06_021,Done
1444820701,5,Area06_022,Done
1444820701,5,Area06_023,Done
1444820701,5,Area06_024,Done
1444820701,5,Area06_025,Done
1444820701,5,Area06_026,Done
1444820701,5,Area06_027,Done
1444820701,5,Area06_028,Done
1444820701,5,Area06_029,Done
1444820701,7,Area08_001,Done
1444820701,7,Area08_002,Done
1444820701,7,Area08_003,Done
1444820701,7,Area08_004,Done
1444820701,7,Area08_005,Done
1444820701,7,Area08_006,Done
1444820701,7,Area08_007,Done
1444820701,7,Area08_008,Done
1444820701,7,Area08_009,Done
1444820701,7,Area08_010,Done
1444820701,7,Area08_011,Done
1444820701,7,Area08_012,Done
1444820701,7,Area08_013,Done
1444820701,7,Area08_014,Done
1444820701,7,Area08_015,Done
1444820701,7,Area08_016,Done
1444820701,7,Area08_017,Done
1444820701,7,Area08_018,Done
1444820701,7,Area08_019,Done
1444820701,7,Area08_020,Done
1444820701,7,Area08_021,Done
1444820701,7,Area08_022,Done
1444820701,7,Area08_099,Done
1444863901,9,Area10_001,Done
1444863901,9,Area10_002,Done
1444863901,9,Area10_003,Done
1444863901,9,Area10_004,Done
1444863901,9,Area10_005,Done
1444863901,9,Area10_006,Current
1444863901,9,Area10_007,Done
1444863901,9,Area10_008,Done
1444863901,9,Area10_009,Current
1444863901,9,Area10_010,Done
1444863901,9,Area10_011,Done
1444863901,9,Area10_012,Done
1444863901,9,Area10_013,Done
1444863901,9,Area10_014,Done
1444863901,9,Area10_015,Done
1444863901,9,Area10_016,Done
1444863901,9,Area10_017,Current
1444863901,9,Area10_018,Done
1444863901,9,Area10_019,Current
1444863901,9,Area10_020,Current
1444863901,9,Area10_021,Done
1444863901,9,Area10_022,Current
1444863901,9,Area10_023,Current
1444863901,1,Area02_001,Current
1444863901,1,Area02_002,Current
1444863901,1,Area02_003,Current
1444863901,1,Area02_004,Current
1444863901,1,Area02_005,Current
1444863901,1,Area02_006,Current
1444863901,1,Area02_007,Current
1444863901,1,Area02_008,Current
1444863901,1,Area02_009,Current
1444863901,1,Area02_010,Current
1444863901,1,Area02_011,Current
1444863901,1,Area02_012,Current
1444863901,1,Area02_013,Current
1444863901,1,Area02_014,Current
1444863901,1,Area02_015,Current
1444863901,1,Area02_016,Current
1444863901,1,Area02_017,Current
1444863901,1,Area02_018,Current
1444863901,1,Area02_019,Current
1444863901,1,Area02_020,Current
1444863901,1,Area02_021,Current
1444863901,1,Area02_022,Current
1444863901,1,Area02_023,Current
1444863901,1,Area02_024,Current
1444863901,1,Area02_025,Current
1444863901,1,Area02_026,Current
1444863901,3,Area04_001,Next
1444863901,3,Area04_002,Next
1444863901,3,Area04_003,Next
1444863901,3,Area04_004,Next
1444863901,3,Area04_005,Next
1444863901,3,Area04_006,Next
1444863901,3,Area04_007,Next
1444863901,3,Area04_008,Next
1444863901,3,Area04_009,Next
1444863901,3,Area04_010,Next
1444863901,3,Area04_011,Next
1444863901,3,Area04_012,Next
1444863901,3,Area04_013,Next
1444863901,3,Area04_014,Next
1444863901,3,Area04_015,Next
1444863901,3,Area04_016,Next
1444863901,3,Area04_017,Next
1444863901,3,Area04_018,Next
1444863901,3,Area04_019,Next
1444863901,5,Area06_001,Done
1444863901,5,Area06_002,Done
1444863901,5,Area06_003,Done
1444863901,5,Area06_004,Done
1444863901,5,Area06_005,Done
1444863901,5,Area06_006,Done
1444863901,5,Area06_007,Done
1444863901,5,Area06_008,Done
1444863901,5,Area06_009,Done
1444863901,5,Area06_010,Done
1444863901,5,Area06_011,Done
1444863901,5,Area06_012,Done
1444863901,5,Area06_013,Done
1444863901,5,Area06_014,Done
1444863901,5,Area06_015,Done
1444863901,5,Area06_016,Done
1444863901,5,Area06_017,Done
1444863901,5,Area06_018,Done
1444863901,5,Area06_019,Done
1444863901,5,Area06_020,Done
1444863901,5,Area06_021,Done
1444863901,5,Area06_022,Done
1444863901,5,Area06_023,Done
1444863901,5,Area06_024,Done
1444863901,5,Area06_025,Done
1444863901,5,Area06_026,Done
1444863901,5,Area06_027,Done
1444863901,5,Area06_028,Done
1444863901,5,Area06_029,Done
1444863901,7,Area08_001,Done
1444863901,7,Area08_002,Done
1444863901,7,Area08_003,Done
1444863901,7,Area08_004,Done
1444863901,7,Area08_005,Done
1444863901,7,Area08_006,Done
1444863901,7,Area08_007,Done
1444863901,7,Area08_008,Done
1444863901,7,Area08_009,Done
1444863901,7,Area08_010,Done
1444863901,7,Area08_011,Done
1444863901,7,Area08_012,Done
1444863901,7,Area08_013,Done
1444863901,7,Area08_014,Done
1444863901,7,Area08_015,Done
1444863901,7,Area08_016,Done
1444863901,7,Area08_017,Done
1444863901,7,Area08_018,Done
1444863901,7,Area08_019,Done
1444863901,7,Area08_020,Done
1444863901,7,Area08_021,Done
1444863901,7,Area08_022,Done
1444863901,7,Area08_099,Done
1444907101,9,Area10_001,Done
1444907101,9,Area10_002,Done
1444907101,9,Area10_003,Done
1444907101,9,Area10_004,Done
1444907101,9,Area10_005,Done
1444907101,9,Area10_006,Current
1444907101,9,Area10_007,Done
1444907101,9,Area10_008,Done
1444907101,9,Area10_009,Current
1444907101,9,Area10_010,Done
1444907101,9,Area10_011,Done
1444907101,9,Area10_012,Done
1444907101,9,Area10_013,Done
1444907101,9,Area10_014,Done
1444907101,9,Area10_015,Done
1444907101,9,Area10_016,Done
1444907101,9,Area10_017,Current
1444907101,9,Area10_018,Done
1444907101,9,Area10_019,Current
1444907101,9,Area10_020,Current
1444907101,9,Area10_021,Done
1444907101,9,Area10_022,Current
1444907101,9,Area10_023,Current
1444907101,1,Area02_001,Current
1444907101,1,Area02_002,Current
1444907101,1,Area02_003,Current
1444907101,1,Area02_004,Current
1444907101,1,Area02_005,Current
1444907101,1,Area02_006,Current
1444907101,1,Area02_007,Current
1444907101,1,Area02_008,Current
1444907101,1,Area02_009,Current
1444907101,1,Area02_010,Current
1444907101,1,Area02_011,Current
1444907101,1,Area02_012,Current
1444907101,1,Area02_013,Current
1444907101,1,Area02_014,Current
1444907101,1,Area02_015,Current
1444907101,1,Area02_016,Current
1444907101,1,Area02_017,Current
1444907101,1,Area02_018,Current
1444907101,1,Area02_019,Current
1444907101,1,Area02_020,Current
1444907101,1,Area02_021,Current
1444907101,1,Area02_022,Current
1444907101,1,Area02_023,Current
1444907101,1,Area02_024,Current
1444907101,1,Area02_025,Current
1444907101,1,Area02_026,Current
1444907101,3,Area04_001,Next
1444907101,3,Area04_002,Next
1444907101,3,Area04_003,Next
1444907101,3,Area04_004,Next
1444907101,3,Area04_005,Next
1444907101,3,Area04_006,Next
1444907101,3,Area04_007,Next
1444907101,3,Area04_008,Next
1444907101,3,Area04_009,Next
1444907101,3,Area04_010,Next
1444907101,3,Area04_011,Next
1444907101,3,Area04_012,Next
1444907101,3,Area04_013,Next
1444907101,3,Area04_014,Next
1444907101,3,Area04_015,Next
